
 exp__p = 0.729900, time = 1.389960, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.349377, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.314956, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.322059, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.354956, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.311884, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.311301, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.324456, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.336677, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.330311, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp__p = 0.729900, time = 1.304019, life_exp = 575.817780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.730300, time = 1.395017, life_exp = 575.585940, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.730550, time = 1.406088, life_exp = 577.659580, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731480, time = 1.384876, life_exp = 579.768100, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732810, time = 1.345220, life_exp = 577.040120, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.730370, time = 1.366549, life_exp = 578.430480, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732060, time = 1.349328, life_exp = 575.704880, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.730790, time = 1.372120, life_exp = 577.739880, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732400, time = 1.428226, life_exp = 577.523800, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731140, time = 1.349049, life_exp = 577.551360, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732480, time = 1.435851, life_exp = 577.271580, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732060, time = 1.342182, life_exp = 577.278960, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732280, time = 1.363454, life_exp = 576.993980, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731900, time = 1.381319, life_exp = 577.670220, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729660, time = 1.351098, life_exp = 578.714560, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.732600, time = 1.349774, life_exp = 576.180220, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729750, time = 1.368874, life_exp = 579.354400, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.732970, time = 1.354971, life_exp = 577.195740, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.730130, time = 1.353410, life_exp = 577.746640, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.729290, time = 1.376083, life_exp = 576.567960, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.729120, time = 1.340059, life_exp = 575.335160, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.733340, time = 1.342002, life_exp = 577.189180, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.734650, time = 1.363473, life_exp = 576.319860, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731700, time = 1.381669, life_exp = 578.383480, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.730290, time = 1.378470, life_exp = 578.461800, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.728170, time = 1.441360, life_exp = 579.166080, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.729890, time = 1.371774, life_exp = 578.689900, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.732110, time = 1.389686, life_exp = 577.161300, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729330, time = 1.404284, life_exp = 578.033460, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.730260, time = 1.472743, life_exp = 578.023500, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.731850, time = 1.481162, life_exp = 576.225200, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.732040, time = 1.356420, life_exp = 577.082000, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.731790, time = 1.392102, life_exp = 576.768800, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.730300, time = 1.383018, life_exp = 577.214860, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.729480, time = 1.362271, life_exp = 576.117460, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

 exp_p = 0.728980, time = 1.751961, life_exp = 579.515600, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 16

